2026-04-08 18:08:44.448 +01:00 [INF] SportsStore started in Development
2026-04-08 18:08:47.676 +01:00 [WRN] Failed to determine the https port for redirect.
2026-04-08 18:08:48.161 +01:00 [INF] HTTP GET / responded 200 in 488.7828 ms
2026-04-08 18:08:48.192 +01:00 [INF] HTTP GET /lib/bootstrap/css/bootstrap.min.css responded 404 in 3.0151 ms
2026-04-08 18:08:48.192 +01:00 [INF] HTTP GET /lib/font-awesome/css/all.min.css responded 404 in 3.0152 ms
2026-04-08 18:08:48.435 +01:00 [INF] HTTP GET /favicon.ico responded 200 in 69.3498 ms
2026-04-08 19:36:07.357 +01:00 [INF] HTTP GET / responded 200 in 779.4717 ms
2026-04-08 19:36:07.374 +01:00 [INF] HTTP GET /lib/bootstrap/css/bootstrap.min.css responded 404 in 0.3714 ms
2026-04-08 19:36:07.375 +01:00 [INF] HTTP GET /lib/font-awesome/css/all.min.css responded 404 in 0.1921 ms
2026-04-08 19:36:07.597 +01:00 [INF] HTTP GET /favicon.ico responded 200 in 10.6810 ms
2026-04-08 19:36:31.659 +01:00 [INF] HTTP GET / responded 200 in 10.6650 ms
2026-04-08 19:36:31.682 +01:00 [INF] HTTP GET /lib/bootstrap/css/bootstrap.min.css responded 404 in 0.4365 ms
2026-04-08 19:36:31.682 +01:00 [INF] HTTP GET /lib/font-awesome/css/all.min.css responded 404 in 0.5592 ms
2026-04-08 19:36:31.928 +01:00 [INF] HTTP GET /favicon.ico responded 200 in 7.7377 ms
2026-04-08 19:37:55.859 +01:00 [INF] HTTP GET /Chess/Page1 responded 200 in 6.7576 ms
2026-04-08 19:37:55.890 +01:00 [INF] HTTP GET /lib/bootstrap/css/bootstrap.min.css responded 404 in 0.3852 ms
2026-04-08 19:37:55.891 +01:00 [INF] HTTP GET /lib/font-awesome/css/all.min.css responded 404 in 0.3927 ms
2026-04-08 19:37:55.946 +01:00 [INF] HTTP GET /favicon.ico responded 200 in 4.3539 ms
2026-04-08 19:37:56.684 +01:00 [INF] HTTP GET /Soccer/Page1 responded 200 in 5.5732 ms
2026-04-08 19:37:56.716 +01:00 [INF] HTTP GET /lib/bootstrap/css/bootstrap.min.css responded 404 in 0.4155 ms
2026-04-08 19:37:56.716 +01:00 [INF] HTTP GET /lib/font-awesome/css/all.min.css responded 404 in 0.2880 ms
2026-04-08 19:37:56.766 +01:00 [INF] HTTP GET /favicon.ico responded 200 in 4.2265 ms
2026-04-08 19:37:57.734 +01:00 [INF] HTTP GET /Watersports/Page1 responded 200 in 6.5395 ms
2026-04-08 19:37:57.767 +01:00 [INF] HTTP GET /lib/bootstrap/css/bootstrap.min.css responded 404 in 0.4463 ms
2026-04-08 19:37:57.767 +01:00 [INF] HTTP GET /lib/font-awesome/css/all.min.css responded 404 in 0.3295 ms
2026-04-08 19:37:57.815 +01:00 [INF] HTTP GET /favicon.ico responded 200 in 4.3855 ms
2026-04-08 19:37:58.562 +01:00 [INF] HTTP GET /Page1 responded 200 in 6.3105 ms
2026-04-08 19:37:58.595 +01:00 [INF] HTTP GET /lib/bootstrap/css/bootstrap.min.css responded 404 in 1.0051 ms
2026-04-08 19:37:58.595 +01:00 [INF] HTTP GET /lib/font-awesome/css/all.min.css responded 404 in 0.8591 ms
2026-04-08 19:37:58.685 +01:00 [INF] HTTP GET /favicon.ico responded 200 in 4.6287 ms
2026-04-08 19:57:55.271 +01:00 [INF] HTTP GET / responded 200 in 850.1305 ms
2026-04-08 19:57:55.298 +01:00 [INF] HTTP GET /lib/bootstrap/css/bootstrap.min.css responded 404 in 0.3456 ms
2026-04-08 19:57:55.298 +01:00 [INF] HTTP GET /lib/font-awesome/css/all.min.css responded 404 in 0.2966 ms
2026-04-08 19:57:55.520 +01:00 [INF] HTTP GET /favicon.ico responded 200 in 8.2547 ms
2026-04-08 20:00:43.470 +01:00 [INF] SportsStore started in Development
2026-04-08 20:00:45.875 +01:00 [WRN] Failed to determine the https port for redirect.
2026-04-08 20:00:46.307 +01:00 [INF] HTTP GET / responded 200 in 438.3801 ms
2026-04-08 20:00:46.574 +01:00 [INF] HTTP GET /favicon.ico responded 200 in 58.1053 ms
